Token.ID,Variety,Corpus,Speaker,Speaker.sex,Speaker.YOB,Context,Inclusion,Inclusion.comments,Semantics,Response.variable,Verb.form,Verb.particle,Recipient,Recipient.head,Recipient.type,Recipient.animacy,Recipient.definiteness,Recipient.length,Recipient.coordinated,Recipient.quantified.pronoun,Recipient.contains.contraction,Recipient.contains.acronym,Recipient.contains.multiword.number,Recipient.contains.potentially.relevant.like,Theme,Theme.head,Theme.type,Theme.animacy,Theme.definiteness,Theme.length,Theme.coordinated,Theme.quantified.pronoun,Theme.rate.expression,Theme.contains.contraction,Theme.contains.acronym,Theme.contains.multiword.number,Theme.contains.potentially.relevant.like
dat-0001,CAN,can-2,can-2-99,M,1987,"boys will be boys.” [1] Oh-my-gosh. [03] Don’t give me that. Like, looking back on that now, I’m-lik",y,,C,D,give,,me,me,P,A,Definite,1,0,0,0,0,0,0,that,that,D,I,Definite,1,0,0,0,0,0,0,0
dat-0002,CAN,can-2,can-2-99,M,1987,some money.”  “Dad gave you money?” “I mean you gave me money.” [02] That was me. [03] “I mean you,y,,T,D,gave,,me,me,P,A,Definite,1,0,0,0,0,0,0,money,money,N,I,Indefinite,1,0,0,0,0,0,0,0
dat-0003,CAN,can-2,can-2-99,M,1987,"was-like, “Yeah, he gave me some money.”  “Dad gave you money?” “I mean you gave me money.” [02] Th",y,,T,D,gave,,you,you,P,A,Definite,1,0,0,0,0,0,0,money,money,N,I,Indefinite,1,0,0,0,0,0,0,0
dat-0004,CAN,can-2,can-2-100,M,1992,"the work and stuff. Course your friends wouldn‘t give you work. They give you like, fun stuff. [2] Wh",y,,A,D,give,,you,you,P,A,Definite,1,0,0,0,0,0,0,work,work,N,I,Indefinite,1,0,0,0,0,0,0,0
dat-0005,CAN,can-2,can-2-101,F,1992,"ke, we used to have a milk program, so like, they gave us milk, right, and she’d always tell us weird st",y,,T,D,gave,,us,us,P,A,Definite,1,0,0,0,0,0,0,milk,milk,N,I,Indefinite,1,0,0,0,0,0,0,0
dat-0006,CAN,can-2,can-2-101,F,1992,"e goes- and then, his brother comes to the door to give you candy and then he leaves and then he lies ba",y,,T,D,give,,you,you,P,A,Definite,1,0,0,0,0,0,0,candy,candy,N,I,Indefinite,1,0,0,0,0,0,0,0
dat-0007,CAN,can-2,can-2-105,F,1984,"y it to like annoy me or something.  And he just gives me headaches when he does that like, “Oh g-d, sto",y,,A,D,gives,,me,me,P,A,Definite,1,0,0,0,0,0,0,headaches,headaches,N,I,Indefinite,1,0,0,0,0,0,0,0
dat-0008,CAN,can-2,can-2-110,F,1984,"ive me milk, I drink it and sleep. I wake up, you give  me milk, I drink it and sleep. That’s all I do.",y,,T,D,give,,me,me,P,A,Definite,1,0,0,0,0,0,0,milk,milk,N,I,Indefinite,1,0,0,0,0,0,0,0
dat-0009,CAN,can-2,can-2-110,F,1984,"leep, or eat.” So, when I wake up, okay, you just give me milk, I drink it and sleep. I wake up, you gi",y,,T,D,give,,me,me,P,A,Definite,1,0,0,0,0,0,0,milk,milk,N,I,Indefinite,1,0,0,0,0,0,0,0
dat-0010,CAN,can-2,can-2-110,F,1984,"like, people I know, I don’t even say “Hi”, I just give them looks, like, “Oh, hi,” like, in a way of th",y,,A,D,give,,them,them,P,A,Definite,1,0,0,0,0,0,0,looks,looks,N,I,Indefinite,1,0,0,0,0,0,0,0
dat-0011,CAN,can-2,can-2-110,F,1984,"re-like, “Are you still dating Kevin?” Like, they give you this, things more and you’re-like, “Weird”,",y,,C,D,give,,you,you,P,A,Definite,1,0,0,0,0,0,0,this,this,D,I,Definite,1,0,0,0,0,0,0,0
dat-0012,CAN,can-2,can-2-112,M,1989,"what else, they yell at me a lot, my dad likes to give me lectures. Not when I’m in trouble, he just t",y,,A,D,give,,me,me,P,A,Definite,1,0,0,0,0,0,0,lectures,lectures,N,I,Indefinite,1,0,0,0,0,0,0,0
dat-0013,CAN,can-2,can-2-114,F,1992,"we’re like doing they’re job for them, now they’re giving us something back.  [3] Right. Yeah, oh that’s",q,verb-particle,A,D,giving,back,us,us,P,A,Definite,1,0,0,0,0,0,0,something,something,I,I,Indefinite,1,0,0,0,0,0,0,0
dat-0014,CAN,can-3,can-3-65,M,1988,"w sightseeing and do what you want, you-know they give us curfew and we just kind-of like roam around,",y,,A,D,give,,us,us,P,A,Definite,1,0,0,0,0,0,0,curfew,curfew,N,I,Indefinite,1,0,0,0,0,0,0,0
dat-0015,CAN,can-3,can-3-66,M,1986,"d these guys ar-- ain 't so bad either."" They 're giving me support they 're saying, ""Yeah I was like you ",y,,A,D,giving,,me,me,P,A,Definite,1,0,0,0,0,0,0,support,support,N,I,Indefinite,1,0,0,0,0,0,0,0
