Token.ID,Variety,Corpus,Speaker,Speaker.sex,Speaker.YOB,Speaker.age,Context,Inclusion,Inclusion.comments,Persistence,Final.sibilancy,Semantic.relation,Response.variable,Possessor,Possessor.head,Possessor.animacy,Possessor.definiteness,Possessor.length,Possessor.coordinated,Possessor.contains.contraction,Possessor.contains.acronym,Possessor.contains.multiword.number,Possessor.contains.potentially.relevant.like,Possessum,Possessum.head,Possessum.length,Possessum.coordinated,Possessum.contains.contraction,Possessum.contains.acronym,Possessum.contains.multiword.number,Possessum.contains.potentially.relevant.like
gen-0001,CAN,Canadian,ryonson,M,1955,49,"I don 't know exactly know what the rules OF THE GAME were, [game = tetherball; also, kind of seems formulaic] ",y,,none,0,N,of-genitive,the game,game,I,Definite,2,0,0,0,0,0,the rules,rules,1,0,0,0,0,0
gen-0002,CAN,Canadian,jlear,M,1952,51,"I always figured that's one of the things about the politics OF THE THINGS, ",y,,none,1,N,of-genitive,the thing,thing,I,Definite,2,0,0,0,0,0,the politics,politics,1,0,0,0,0,0
gen-0004,CAN,Canadian,claterman,M,1985,19,...We were all skateboarding by TIM SWISS'S house. ,y,,s-genitive,1,O,s-genitive,Tim Swiss,Tim Swiss,A,Definite-pn,2,0,0,0,0,0,house,house,1,0,0,0,0,0
gen-0005,CAN,Canadian,amaksimowski,M,1979,25,"[7] Was it a good guitar or was it just a-? [071] It was like a Yamaha-Etern-- you-know, it was like A BEGINNER'S thing,",y,,none,0,N,s-genitive,a beginner,beginner,A,Indefinite,2,0,0,0,0,0,thing,thing,1,0,0,0,0,0
gen-0006,CAN,Canadian,aodwyer,F,1979,25,her parents gave me a painting that her grandfather had made for <the wedding of somebody else>,y,,none,1,N,of-genitive,somebody else,somebody,A,Indefinite,2,0,0,0,0,0,the wedding,wedding,1,0,0,0,0,0
gen-0007,CAN,Canadian,asailner,F,1974,29,"And they dressed like tarts and they had heavy make-up, and I was li-- basically the exact opposite OF SHANA, really. [proper name with an of-genitive]",y,,none,0,N,of-genitive,Shana,Shana,A,Definite-pn,1,0,0,0,0,0,the exact opposite,opposite,2,0,0,0,0,0
gen-0009,CAN,Canadian,blaurel,F,1976,30,"she had said, ""Well I'm gonna give you the number OF LINDSAY.""",y,,s-genitive,0,N,of-genitive,Lindsay,Lindsay,A,Definite-pn,1,0,0,0,0,0,the number,number,1,0,0,0,0,0
gen-0010,CAN,Canadian,blaurel,F,1976,30,"she said. ""I'm gonna give you LINDSAY'S number because she'S taking E-C-E too",y,,of-genitive,0,N,s-genitive,Lindsay,Lindsay,A,Definite-pn,1,0,0,0,0,0,number,number,1,0,0,0,0,0
gen-0011,CAN,Canadian,blaurel,F,1976,30,"we went to the bar together, but when she gave me LINDSAY'S NUMBER she gave me my-",y,,s-genitive,0,N,s-genitive,Lindsay,Lindsay,A,Definite-pn,1,0,0,0,0,0,number,number,1,0,0,0,0,0
gen-0012,CAN,Canadian,jmacintosh,F,1973,30,"they 're drawing on that, the idea of <the feminine face of God>, 'cause we just don 't have that, I-mean in the west you just don 't have that.",y,,none,0,N,of-genitive,God,God,A,Definite-pn,1,0,0,0,0,0,the feminine face,face,2,0,0,0,0,0
gen-0013,CAN,Canadian,jschipano,F,1973,31,I think the statistic I read yesterday in THE DOCTOR'S office was four out of five people won 't even realize that they have it.,y,,none,0,N,s-genitive,the doctor,doctor,A,Definite,2,0,0,0,0,0,office,office,1,0,0,0,0,0
gen-0015,CAN,Canadian,acometto,F,1967,37,and explained too all the lives OF BUDDHA and he explained that. ,y,,none,0,N,of-genitive,Buddha,Buddha,A,Definite-pn,1,0,0,0,0,0,the lives,lives,1,0,0,0,0,0
gen-0016,CAN,Canadian,asinkic,F,1963,41,our federal government was respondent and perhaps bending over too much to- to acquiescing too much to- to AMERICANS' grand plan to have one defense system for North-America.,y,,none,1,N,s-genitive,Americans,Americans,A,Indefinite,1,0,0,0,0,0,grand plan,plan,2,0,0,0,0,0
gen-0017,CAN,Canadian,jmichalakos,M,1958,46,"You-know, generally speaking the commitment OF THE TEACHERS to the community,",y,,none,1,N,of-genitive,the teacher,teacher,A,Definite,2,0,0,0,0,0,the commitment,commitment,1,0,0,0,0,0
gen-0018,CAN,Canadian,jmichalakos,M,1958,46,"Um, I- I 've already told you what MY FATHER'S involvement in school was.  ",y,,none,0,N,s-genitive,my father,father,A,Definite,2,0,0,0,0,0,involvement,involvement,1,0,0,0,0,0
